Sec,Min,Sec/cyc,L1 Power,L2 Power,L1+L2 Power,L1-N Amps,L2-N Amps,N Amps,L1-N Volts,L2-N Volts,L1-L2 Volts,L3 N Amps,L3 Power,L3-N Volts,Ambient Air,power cord strain relief,power cord at separation,power cord at individual conductor,power switch body top,internal wiring by tank,terminal block body,hi limit body,circuit breaker body 40A,circuit breaker body 4A,inlet valve windings,hot lead at heating element,element end seal,ambient near 24vdc power supply,body of bypass valve windings,body of brew valve windings,lock solonoid windings,ambient near electronic control,spin motor,solid state relay,ptc lead,ptc hi limit control,Handle
0,0,0,2796.057453,2668.997439,5465.054892,26.008735,25.766669,0,107.504554,103.583334,222.574993,0.003726,0,0,65.601557,77.168226,88.113823,90.402606,85.01332,107.724191,93.761847,114.058545,104.781402,87.821663,77.566834,133.284575,161.935755,80.887932,93.629839,93.673036,89.144566,113.652585,72.294853,112.149831,110.800662,99.886613,69.227047
5,0.083333333,5,3402.304355,3244.487359,6646.791714,31.730594,31.459425,0.002939,107.224729,103.132443,221.782907,0.003177,0,0,65.72998,77.122927,88.193004,90.678879,85.389937,107.725744,93.569644,114.175713,105.126972,88.056092,77.799951,133.793586,163.935389,81.064855,94.090734,94.097997,89.07801,113.816815,72.101575,112.173556,110.539619,99.809637,69.161421
10,0.166666667,10,2994.933219,2860.57406,5855.50728,27.901846,27.631258,0,107.338176,103.526738,222.228514,0.003341,0,0,65.571984,76.937411,88.223958,90.495437,85.271821,108.016674,93.738476,114.420804,105.113898,88.046014,77.680378,134.147941,166.213243,80.551155,93.882576,93.985893,89.168983,114.022924,72.197671,112.151876,110.647838,99.638901,69.151941
15,0.25,15,2978.544167,2845.21606,5823.760227,27.744202,27.481032,0,107.357354,103.533813,222.28528,0.003398,0,0,65.828585,77.213219,88.505525,90.698908,85.438616,108.32024,93.8185,114.547526,105.133128,88.34876,77.851938,134.844621,168.318148,80.818838,94.264407,94.43706,89.349521,113.604467,72.280424,111.850855,110.694168,99.729505,69.311407
20,0.333333333,20,2969.585834,2836.031613,5805.617447,27.641995,27.414598,9.53674E-05,107.43023,103.449686,222.362077,0.003505,0,0,65.791941,77.101766,88.196487,90.443321,85.070188,108.300831,93.758408,114.470658,105.25911,88.478368,77.679711,135.480576,170.341252,80.641059,94.141,94.748447,89.294256,114.128982,72.038212,111.959555,110.994677,100.144311,69.434232
25,0.416666667,25,2970.504994,2829.008409,5799.513403,27.628718,27.367318,0.001046,107.515123,103.371782,222.461631,0.003349,0,0,66.079487,77.365752,88.672319,90.819518,85.45197,108.652495,93.802665,114.959533,105.806724,88.931316,77.855543,136.196484,171.825141,81.09812,94.557159,95.761801,89.781982,113.645227,72.186576,111.974367,111.232409,100.578017,69.576411
30,0.5,30,1874.619637,2261.018697,4135.638334,17.453594,21.884796,0,107.405938,103.314589,222.411513,0.00357,0,0,66.125609,77.59758,88.430561,90.721352,85.007514,109.056801,93.93329,115.071355,105.654436,89.533307,78.043669,136.222554,173.551283,81.566399,94.74856,96.42836,90.300773,113.796738,72.108256,112.308456,111.421525,101.214211,69.432662
35,0.583333333,35,403.828618,338.79281,742.621428,3.732922,3.216933,0,108.180295,105.315473,224.94426,0.004054,0,0,66.236166,77.465243,89.571934,90.732788,85.382637,109.220369,94.195273,115.503011,105.073201,89.856615,78.359382,136.864571,174.090037,81.515733,95.232377,97.198806,90.605635,114.685866,72.067857,112.728438,111.643299,101.676185,69.767014
40,0.666666667,40,276.718163,246.788935,523.507098,2.559544,2.34118,0,108.112277,105.412214,224.876243,0.003742,0,0,65.919621,77.35405,89.134869,90.569405,85.302215,108.657478,93.86424,115.491852,104.783664,89.639941,78.159949,136.985002,173.400478,81.589696,95.245949,98.365603,90.871574,114.686872,72.041179,112.86065,111.813648,102.339096,69.460875
45,0.75,45,2991.904624,2852.678266,5844.582891,27.641036,27.05381,0,108.241408,105.444603,224.971536,0.003841,0,0,65.889076,77.598673,89.18914,90.573758,85.378734,108.90864,93.720437,115.680869,105.201701,90.036795,78.43721,137.389209,172.92787,82.029522,95.546423,99.63035,90.960897,114.903585,72.050106,112.746269,112.064266,103.093802,70.083276
50,0.833333333,50,159.431769,158.187918,317.619687,1.485907,1.525148,0,107.2959,103.71971,222.127255,0.003677,0,0,65.829317,77.526986,88.338101,90.61374,85.308914,109.019638,93.808715,115.710688,105.695999,90.240146,78.777607,137.47301,172.093277,82.545159,95.758574,100.744311,91.489998,115.044323,72.373731,112.538745,112.16629,103.928651,69.722638
55,0.916666667,55,161.678748,161.486431,323.165179,1.495922,1.531369,0,108.079632,105.45236,224.863799,0.003906,0,0,65.959606,77.546096,89.054477,90.117525,85.51654,109.09125,94.088179,115.893248,105.164701,90.397977,78.779441,137.6768,171.603976,82.685995,95.986287,102.119955,92.24934,115.298202,72.098144,112.888556,112.545893,104.826961,69.895742
60,1,60,160.666368,160.08068,320.747049,1.485571,1.518919,0,108.15123,105.391161,224.945624,0.003833,0,0,65.491451,77.387936,89.008809,90.09137,85.405075,108.954531,93.6561,116.198235,105.065252,90.384392,78.769369,137.988666,171.336257,82.469486,95.993324,102.902776,92.462608,115.778699,72.128146,112.814851,112.817223,105.806579,69.661025
65,1.083333333,65,2960.725425,2821.442429,5782.167854,27.54527,27.281034,0.000849,107.485803,103.421388,222.45055,0.003579,0,0,65.573396,77.423081,88.246456,89.984528,85.371427,109.102724,93.732172,116.401945,105.94744,90.450213,79.078741,138.176951,171.260877,82.730112,96.416177,103.964687,92.992761,116.088582,72.505047,112.641669,112.796598,106.60981,69.442572
70,1.166666667,70,157.176114,156.950445,314.126559,1.452633,1.490046,0,108.200836,105.332605,224.997106,0.004013,0,0,65.839547,77.707327,88.974956,90.094447,85.624544,109.191266,93.849292,116.559843,105.104946,90.815273,79.093582,138.323553,171.180917,82.425154,96.867273,104.718661,93.282988,116.205319,72.165514,112.764379,113.171353,107.5704,69.601365
75,1.25,75,2964.248198,2822.857219,5787.105418,27.567398,27.30322,0.000538,107.527312,103.38917,222.494958,0.003824,0,0,65.588453,77.511964,88.287115,89.773326,85.269164,108.86346,93.575167,116.715665,105.990083,90.75004,79.03362,138.181604,170.690247,82.616497,96.751396,105.385464,93.677581,116.831222,72.139943,112.53561,113.426594,108.561236,69.695686
